recipe_id,name,meal_type,cuisine,servings,prep_time_min,cook_time_min,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,diet_tags,med_attributes,ingredients,instructions,is_vegetarian,is_vegan,is_pescatarian,is_gluten_free,is_dairy_free,image_url
MD062,Baked Mackerel with Herbs with Garlic,Dinner,Maghrebi,1,25,10,500,28,35,23,6,351,"pescatarian, gluten_free, dairy_free","fish, olive_oil, vegetables",garlic; tomato; eggplant; mackerel; extra-virgin olive oil,Combine ingredients. Season with mint and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1504674900247-0877df9cc836?q=80&w=800&auto=format&fit=crop
MD063,Stuffed Peppers with Farro with Tomato,Dinner,Italian,1,20,10,470,15,50,25,12,414,"vegetarian, vegan, gluten_free, dairy_free","nuts_seeds, olive_oil, vegetables, whole_grains",tomato; arugula; bell pepper; barley; pistachios; extra-virgin olive oil,Combine ingredients. Season with cumin and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1604908554037-1a2f50a88a6f?q=80&w=800&auto=format&fit=crop
MD064,Lentil Soup with Spinach with Garlic,Dinner,Greek,1,10,5,430,18,45,19,9,323,"vegetarian, vegan, gluten_free, dairy_free","herbs_spices, legumes, olive_oil, vegetables",garlic; bell pepper; mushroom; fava beans; extra-virgin olive oil; whole-grain bread,Combine ingredients. Season with basil and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1547592180-85f173990554?q=80&w=800&auto=format&fit=crop
MD065,Mujadara with Eggplant,Dinner,Modern Med,1,10,10,520,21,60,25,15,338,"vegetarian, vegan, gluten_free, dairy_free","legumes, nuts_seeds, olive_oil, vegetables, whole_grains",eggplant; avocado; zucchini; fava beans; couscous; pistachios; extra-virgin olive oil,Combine ingredients. Season with paprika and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1589301773859-3c415fa47d54?q=80&w=800&auto=format&fit=crop
MD066,Baked Cod with Tomatoes & Olives with Garlic,Dinner,Modern Med,1,30,20,560,33,35,27,6,451,"pescatarian, gluten_free","fish, olive_oil, vegetables, yogurt_cheese",garlic; spinach; cucumber; cod; ricotta; extra-virgin olive oil,Combine ingredients. Season with parsley and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,False,https://images.unsplash.com/photo-1553621042-f6e147245754?q=80&w=800&auto=format&fit=crop
MD067,Baked Cod with Tomatoes & Olives with Arugula,Dinner,Modern Med,1,25,5,500,28,35,23,6,409,"pescatarian, gluten_free, dairy_free","fish, olive_oil, vegetables",arugula; zucchini; mushroom; tuna; extra-virgin olive oil,Combine ingredients. Season with rosemary and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1553621042-f6e147245754?q=80&w=800&auto=format&fit=crop
MD068,Lentil Soup with Spinach with Kale,Dinner,Levantine,1,30,5,480,21,45,25,11,394,"vegetarian, vegan, gluten_free, dairy_free","herbs_spices, legumes, nuts_seeds, olive_oil, vegetables",kale; avocado; spinach; fava beans; sesame seeds; extra-virgin olive oil,Combine ingredients. Season with rosemary and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1547592180-85f173990554?q=80&w=800&auto=format&fit=crop
MD069,Stuffed Peppers with Farro with Arugula,Dinner,Spanish,1,10,10,590,31,50,29,12,376,"pescatarian, gluten_free, dairy_free","fish, nuts_seeds, olive_oil, vegetables, whole_grains",arugula; garlic; eggplant; quinoa; salmon; sesame seeds; extra-virgin olive oil,Combine ingredients. Season with basil and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1604908554037-1a2f50a88a6f?q=80&w=800&auto=format&fit=crop
MD070,Mujadara with Tomato,Dinner,Turkish,1,15,20,520,21,60,25,15,394,"vegetarian, vegan, gluten_free, dairy_free","legumes, nuts_seeds, olive_oil, vegetables, whole_grains",tomato; zucchini; eggplant; chickpeas; orzo; walnuts; extra-virgin olive oil; rye bread,Combine ingredients. Season with zaatar and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1589301773859-3c415fa47d54?q=80&w=800&auto=format&fit=crop
MD071,Couscous with Roasted Vegetables with Eggplant,Dinner,Greek,1,20,10,470,15,50,25,12,294,"vegetarian, vegan, gluten_free, dairy_free","nuts_seeds, olive_oil, vegetables, whole_grains",eggplant; avocado; kale; farro; walnuts; extra-virgin olive oil; sourdough,Combine ingredients. Season with sumac and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1606491956689-2c51e7bdfa2d?q=80&w=800&auto=format&fit=crop
MD072,Eggplant & Chickpea Bake with Bell Pepper,Dinner,Spanish,1,10,0,430,18,45,19,9,339,"vegetarian, vegan, gluten_free, dairy_free","legumes, olive_oil, vegetables",bell pepper; avocado; kale; lentils; extra-virgin olive oil; pita,Combine ingredients. Season with cumin and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1589301773859-3c415fa47d54?q=80&w=800&auto=format&fit=crop
MD073,Mujadara with Arugula,Dinner,Maghrebi,1,10,0,470,18,60,19,13,404,"vegetarian, vegan, gluten_free, dairy_free","legumes, olive_oil, vegetables, whole_grains",arugula; mushroom; kale; fava beans; oats; extra-virgin olive oil; rye bread,Combine ingredients. Season with paprika and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1589301773859-3c415fa47d54?q=80&w=800&auto=format&fit=crop
MD074,Couscous with Roasted Vegetables with Bell Pepper,Dinner,Modern Med,1,30,0,590,31,50,29,12,363,"pescatarian, gluten_free, dairy_free","fish, nuts_seeds, olive_oil, vegetables, whole_grains",bell pepper; tomato; spinach; orzo; salmon; sesame seeds; extra-virgin olive oil,Combine ingredients. Season with zaatar and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1606491956689-2c51e7bdfa2d?q=80&w=800&auto=format&fit=crop
MD075,Baked Cod with Tomatoes & Olives with Avocado,Dinner,Modern Med,1,20,5,530,28,43,23,6,391,"pescatarian, gluten_free, dairy_free","fish, fruits, olive_oil, vegetables",avocado; onion; cucumber; figs; salmon; extra-virgin olive oil,Combine ingredients. Season with basil and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1553621042-f6e147245754?q=80&w=800&auto=format&fit=crop
MD076,Mediterranean Brown Rice Bowl with Bell Pepper,Dinner,Modern Med,1,30,0,420,12,50,19,10,261,"vegetarian, vegan, gluten_free, dairy_free","herbs_spices, olive_oil, vegetables, whole_grains",bell pepper; arugula; mushroom; quinoa; extra-virgin olive oil; pita,Combine ingredients. Season with oregano and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1526318472351-c75fcf070305?q=80&w=800&auto=format&fit=crop
MD077,Baked Mackerel with Herbs with Avocado,Dinner,Maghrebi,1,30,5,500,28,35,23,6,315,"pescatarian, gluten_free, dairy_free","fish, olive_oil, vegetables",avocado; eggplant; zucchini; mackerel; extra-virgin olive oil,Combine ingredients. Season with basil and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1504674900247-0877df9cc836?q=80&w=800&auto=format&fit=crop
MD078,Grilled Salmon with Lemon & Herbs with Bell Pepper,Dinner,Greek,1,25,20,530,28,43,23,6,293,"pescatarian, gluten_free, dairy_free","fish, fruits, herbs_spices, olive_oil, vegetables",bell pepper; zucchini; eggplant; pomegranate; sardines; extra-virgin olive oil; rye bread,Combine ingredients. Season with sumac and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1617191518000-3ba3e927651c?q=80&w=800&auto=format&fit=crop
MD079,Grilled Salmon with Lemon & Herbs with Cucumber,Dinner,Turkish,1,30,10,530,28,43,23,6,341,"pescatarian, gluten_free, dairy_free","fish, fruits, herbs_spices, olive_oil, vegetables",cucumber; garlic; bell pepper; berries; cod; extra-virgin olive oil,Combine ingredients. Season with cumin and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1617191518000-3ba3e927651c?q=80&w=800&auto=format&fit=crop
MD080,Eggplant & Chickpea Bake with Tomato,Dinner,Italian,1,10,10,430,18,45,19,9,295,"vegetarian, vegan, gluten_free, dairy_free","legumes, olive_oil, vegetables",tomato; garlic; cucumber; fava beans; extra-virgin olive oil,Combine ingredients. Season with mint and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1589301773859-3c415fa47d54?q=80&w=800&auto=format&fit=crop
MD081,Stuffed Peppers with Farro with Arugula — Maghrebi,Dinner,Maghrebi,1,20,10,530,20,50,29,12,450,"vegetarian, gluten_free","nuts_seeds, olive_oil, vegetables, whole_grains, yogurt_cheese",arugula; cucumber; bell pepper; orzo; pistachios; parmesan; extra-virgin olive oil; rye bread,Combine ingredients. Season with mint and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1604908554037-1a2f50a88a6f?q=80&w=800&auto=format&fit=crop
MD082,Baked Cod with Tomatoes & Olives with Garlic — Turkish,Dinner,Turkish,1,20,20,500,28,35,23,6,356,"pescatarian, gluten_free, dairy_free","fish, olive_oil, vegetables",garlic; avocado; spinach; salmon; extra-virgin olive oil,Combine ingredients. Season with cumin and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1553621042-f6e147245754?q=80&w=800&auto=format&fit=crop
MD083,Couscous with Roasted Vegetables with Arugula,Dinner,Italian,1,30,0,520,21,60,25,15,259,"vegetarian, vegan, gluten_free, dairy_free","legumes, nuts_seeds, olive_oil, vegetables, whole_grains",arugula; cucumber; tomato; chickpeas; orzo; pine nuts; extra-virgin olive oil; whole-grain bread,Combine ingredients. Season with parsley and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1606491956689-2c51e7bdfa2d?q=80&w=800&auto=format&fit=crop
MD084,Mediterranean Brown Rice Bowl with Eggplant,Dinner,Greek,1,15,20,420,12,50,19,10,349,"vegetarian, vegan, gluten_free, dairy_free","herbs_spices, olive_oil, vegetables, whole_grains",eggplant; cucumber; tomato; couscous; extra-virgin olive oil,Combine ingredients. Season with mint and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1526318472351-c75fcf070305?q=80&w=800&auto=format&fit=crop
MD085,Stuffed Peppers with Farro with Cucumber,Dinner,Greek,1,15,15,470,15,50,25,12,288,"vegetarian, vegan, gluten_free, dairy_free","nuts_seeds, olive_oil, vegetables, whole_grains",cucumber; tomato; spinach; couscous; pistachios; extra-virgin olive oil,Combine ingredients. Season with paprika and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1604908554037-1a2f50a88a6f?q=80&w=800&auto=format&fit=crop
MD086,Eggplant & Chickpea Bake with Arugula,Dinner,Greek,1,15,0,430,18,45,19,9,373,"vegetarian, vegan, gluten_free, dairy_free","legumes, olive_oil, vegetables",arugula; zucchini; mushroom; fava beans; extra-virgin olive oil,Combine ingredients. Season with thyme and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1589301773859-3c415fa47d54?q=80&w=800&auto=format&fit=crop
MD087,Grilled Salmon with Lemon & Herbs with Mushroom,Dinner,Modern Med,1,30,10,570,28,58,23,10,389,"pescatarian, gluten_free, dairy_free","fish, fruits, herbs_spices, olive_oil, vegetables, whole_grains",mushroom; onion; arugula; berries; orzo; mackerel; extra-virgin olive oil,Combine ingredients. Season with mint and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1617191518000-3ba3e927651c?q=80&w=800&auto=format&fit=crop
MD088,Ratatouille with Tomato,Dinner,Levantine,1,25,0,380,12,35,19,6,291,"vegetarian, vegan, gluten_free, dairy_free","herbs_spices, olive_oil, vegetables",tomato; garlic; eggplant; extra-virgin olive oil,Combine ingredients. Season with sumac and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1514514805297-163e5c9b90bb?q=80&w=800&auto=format&fit=crop
MD089,Eggplant & Chickpea Bake with Zucchini,Dinner,Modern Med,1,20,5,430,18,45,19,9,331,"vegetarian, vegan, gluten_free, dairy_free","legumes, olive_oil, vegetables",zucchini; avocado; kale; fava beans; extra-virgin olive oil,Combine ingredients. Season with basil and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1589301773859-3c415fa47d54?q=80&w=800&auto=format&fit=crop
MD090,Grilled Salmon with Lemon & Herbs with Avocado,Dinner,Turkish,1,25,10,580,31,43,29,8,383,"pescatarian, gluten_free, dairy_free","fish, fruits, herbs_spices, nuts_seeds, olive_oil, vegetables",avocado; kale; garlic; orange; mackerel; almonds; extra-virgin olive oil,Combine ingredients. Season with sumac and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1617191518000-3ba3e927651c?q=80&w=800&auto=format&fit=crop
MD091,Olive Tapenade Toast with Bell Pepper,Snack,Maghrebi,1,15,20,399,15,45,22,12,180,"vegetarian, vegan, gluten_free, dairy_free","nuts_seeds, olive_oil, vegetables, whole_grains",bell pepper; spinach; avocado; bulgur; sesame seeds; extra-virgin olive oil; rye bread,Combine ingredients. Season with parsley and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1533777324565-a040eb52fac1?q=80&w=800&auto=format&fit=crop
MD092,Nutty Quinoa Cup with Zucchini,Snack,Turkish,1,20,0,467,21,61,22,15,244,"vegetarian, vegan, gluten_free, dairy_free","fruits, legumes, nuts_seeds, olive_oil, vegetables, whole_grains",zucchini; avocado; tomato; figs; fava beans; orzo; almonds; extra-virgin olive oil,Combine ingredients. Season with basil and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?q=80&w=800&auto=format&fit=crop
MD093,Tahini Date Bites with Apple,Snack,Levantine,1,25,10,391,15,38,22,8,303,"vegetarian, vegan, gluten_free, dairy_free","fruits, nuts_seeds, olive_oil",apple; pistachios; extra-virgin olive oil,Combine ingredients. Season with thyme and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1517686469429-8bdb88b9f907?q=80&w=800&auto=format&fit=crop
MD094,Sardines on Crackers with Bell Pepper,Snack,Maghrebi,1,10,10,459,28,45,20,10,342,"pescatarian, gluten_free, dairy_free","fish, olive_oil, vegetables, whole_grains",bell pepper; tomato; onion; couscous; sardines; extra-virgin olive oil; rye bread,Combine ingredients. Season with zaatar and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1569718212165-3a8278b3261b?q=80&w=800&auto=format&fit=crop
MD095,Hummus & Veg Sticks with Spinach,Snack,Modern Med,1,20,0,365,18,40,17,9,183,"vegetarian, vegan, gluten_free, dairy_free","herbs_spices, legumes, olive_oil, vegetables",spinach; zucchini; cucumber; chickpeas; extra-virgin olive oil,Combine ingredients. Season with oregano and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1568158879083-c4280a6c75f5?q=80&w=800&auto=format&fit=crop
MD096,Hummus & Veg Sticks with Kale,Snack,Spanish,1,30,10,365,18,40,17,9,256,"vegetarian, vegan, gluten_free, dairy_free","herbs_spices, legumes, olive_oil, vegetables",kale; arugula; onion; chickpeas; extra-virgin olive oil,Combine ingredients. Season with oregano and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1568158879083-c4280a6c75f5?q=80&w=800&auto=format&fit=crop
MD097,Tomato & Feta Bites with Kale,Snack,Greek,1,30,0,408,17,45,20,10,383,"vegetarian, gluten_free","olive_oil, vegetables, whole_grains, yogurt_cheese",kale; tomato; mushroom; couscous; labneh; extra-virgin olive oil; rye bread,Combine ingredients. Season with sumac and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1523986371872-9d3ba2e2f642?q=80&w=800&auto=format&fit=crop
MD098,Sardines on Crackers with Cucumber,Snack,Greek,1,10,15,459,28,45,20,10,262,"pescatarian, gluten_free, dairy_free","fish, olive_oil, vegetables, whole_grains",cucumber; arugula; eggplant; orzo; mackerel; extra-virgin olive oil,Combine ingredients. Season with parsley and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1569718212165-3a8278b3261b?q=80&w=800&auto=format&fit=crop
MD099,Nutty Quinoa Cup with Figs,Snack,Levantine,1,20,5,425,15,52,22,12,255,"vegetarian, vegan, gluten_free, dairy_free","fruits, nuts_seeds, olive_oil, whole_grains",figs; brown rice; almonds; extra-virgin olive oil,Combine ingredients. Season with paprika and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?q=80&w=800&auto=format&fit=crop
MD100,Roasted Chickpeas with Garlic,Snack,Modern Med,1,10,15,399,18,54,17,13,278,"vegetarian, vegan, gluten_free, dairy_free","herbs_spices, legumes, olive_oil, vegetables, whole_grains",garlic; onion; bell pepper; chickpeas; oats; extra-virgin olive oil,Combine ingredients. Season with cumin and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1604908554037-1a2f50a88a6f?q=80&w=800&auto=format&fit=crop
MD101,Labneh Dip with Pita with Zucchini,Snack,Levantine,1,10,15,408,17,45,20,10,326,"vegetarian, gluten_free","olive_oil, vegetables, whole_grains, yogurt_cheese",zucchini; onion; mushroom; brown rice; yogurt; extra-virgin olive oil; rye bread,Combine ingredients. Season with thyme and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1505575972945-2804b37a9e9f?q=80&w=800&auto=format&fit=crop
MD102,Roasted Chickpeas with Chickpeas,Snack,Turkish,1,25,10,365,18,40,17,9,285,"vegetarian, vegan, gluten_free, dairy_free","herbs_spices, legumes, olive_oil",chickpeas; extra-virgin olive oil; pita,Combine ingredients. Season with basil and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1604908554037-1a2f50a88a6f?q=80&w=800&auto=format&fit=crop
MD103,Labneh Dip with Pita with Tomato,Snack,Maghrebi,1,30,10,450,23,54,20,13,330,"vegetarian, gluten_free","legumes, olive_oil, vegetables, whole_grains, yogurt_cheese",tomato; zucchini; eggplant; white beans; bulgur; labneh; extra-virgin olive oil,Combine ingredients. Season with thyme and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1505575972945-2804b37a9e9f?q=80&w=800&auto=format&fit=crop
MD104,Roasted Chickpeas with Avocado,Snack,Modern Med,1,15,20,365,18,40,17,9,272,"vegetarian, vegan, gluten_free, dairy_free","herbs_spices, legumes, olive_oil, vegetables",avocado; mushroom; tomato; fava beans; extra-virgin olive oil,Combine ingredients. Season with basil and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1604908554037-1a2f50a88a6f?q=80&w=800&auto=format&fit=crop
MD105,Nutty Quinoa Cup with Pear,Snack,Levantine,1,10,0,425,15,52,22,12,253,"vegetarian, vegan, gluten_free, dairy_free","fruits, nuts_seeds, olive_oil, whole_grains",pear; barley; pistachios; extra-virgin olive oil,Combine ingredients. Season with mint and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?q=80&w=800&auto=format&fit=crop
MD106,Tahini Date Bites with Cucumber,Snack,Modern Med,1,10,20,391,15,38,22,8,231,"vegetarian, vegan, gluten_free, dairy_free","fruits, nuts_seeds, olive_oil, vegetables",cucumber; eggplant; kale; apple; walnuts; extra-virgin olive oil; sourdough,Combine ingredients. Season with thyme and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1517686469429-8bdb88b9f907?q=80&w=800&auto=format&fit=crop
MD107,Nutty Quinoa Cup with Avocado,Snack,Italian,1,20,15,425,15,52,22,12,304,"vegetarian, vegan, gluten_free, dairy_free","fruits, nuts_seeds, olive_oil, vegetables, whole_grains",avocado; arugula; kale; apple; whole-wheat pasta; sesame seeds; extra-virgin olive oil; rye bread,Combine ingredients. Season with sumac and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?q=80&w=800&auto=format&fit=crop
MD108,Labneh Dip with Pita with Onion,Snack,Levantine,1,10,10,450,23,54,20,13,359,"vegetarian, gluten_free","legumes, olive_oil, vegetables, whole_grains, yogurt_cheese",onion; garlic; spinach; chickpeas; oats; yogurt; extra-virgin olive oil,Combine ingredients. Season with zaatar and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1505575972945-2804b37a9e9f?q=80&w=800&auto=format&fit=crop
MD109,Nutty Quinoa Cup with Spinach,Snack,Italian,1,25,5,425,15,52,22,12,229,"vegetarian, vegan, gluten_free, dairy_free","fruits, nuts_seeds, olive_oil, vegetables, whole_grains",spinach; kale; eggplant; grapes; quinoa; hazelnuts; extra-virgin olive oil; rye bread,Combine ingredients. Season with cumin and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?q=80&w=800&auto=format&fit=crop
MD110,Tahini Date Bites with Cucumber — Levantine,Snack,Levantine,1,25,20,433,21,47,22,11,211,"vegetarian, vegan, gluten_free, dairy_free","fruits, legumes, nuts_seeds, olive_oil, vegetables",cucumber; onion; avocado; pear; fava beans; almonds; extra-virgin olive oil,Combine ingredients. Season with cumin and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1517686469429-8bdb88b9f907?q=80&w=800&auto=format&fit=crop
MD111,Greek Salad Cup with Cucumber,Snack,Turkish,1,15,20,374,17,31,20,6,390,"vegetarian, gluten_free","olive_oil, vegetables, yogurt_cheese",cucumber; mushroom; zucchini; ricotta; extra-virgin olive oil,Combine ingredients. Season with cumin and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1568605114967-8130f3a36994?q=80&w=800&auto=format&fit=crop
MD112,Sardines on Crackers with Mushroom,Snack,Levantine,1,25,10,501,31,45,26,12,304,"pescatarian, gluten_free, dairy_free","fish, nuts_seeds, olive_oil, vegetables, whole_grains",mushroom; kale; eggplant; quinoa; salmon; sesame seeds; extra-virgin olive oil,Combine ingredients. Season with mint and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1569718212165-3a8278b3261b?q=80&w=800&auto=format&fit=crop
MD113,Fruit & Nuts Cup with Figs,Snack,Spanish,1,15,10,391,15,38,22,8,247,"vegetarian, vegan, gluten_free, dairy_free","fruits, nuts_seeds, olive_oil",figs; pistachios; extra-virgin olive oil,Combine ingredients. Season with sumac and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1464965911861-746a04b4bca6?q=80&w=800&auto=format&fit=crop
MD114,Sardines on Crackers with Orzo,Snack,Italian,1,20,0,459,28,45,20,10,308,"pescatarian, gluten_free, dairy_free","fish, olive_oil, whole_grains",orzo; shrimp; extra-virgin olive oil,Combine ingredients. Season with thyme and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1569718212165-3a8278b3261b?q=80&w=800&auto=format&fit=crop
MD115,Greek Salad Cup with Kale,Snack,Levantine,1,15,15,374,17,31,20,6,395,"vegetarian, gluten_free","olive_oil, vegetables, yogurt_cheese",kale; bell pepper; avocado; ricotta; extra-virgin olive oil; rye bread,Combine ingredients. Season with mint and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1568605114967-8130f3a36994?q=80&w=800&auto=format&fit=crop
MD116,Greek Salad Cup with Avocado,Snack,Italian,1,25,5,374,17,31,20,6,350,"vegetarian, gluten_free","olive_oil, vegetables, yogurt_cheese",avocado; zucchini; cucumber; halloumi; extra-virgin olive oil,Combine ingredients. Season with cumin and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1568605114967-8130f3a36994?q=80&w=800&auto=format&fit=crop
MD117,Fruit & Nuts Cup with Eggplant,Snack,Modern Med,1,25,20,391,15,38,22,8,214,"vegetarian, vegan, gluten_free, dairy_free","fruits, nuts_seeds, olive_oil, vegetables",eggplant; zucchini; mushroom; lemon; walnuts; extra-virgin olive oil; pita,Combine ingredients. Season with parsley and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1464965911861-746a04b4bca6?q=80&w=800&auto=format&fit=crop
MD118,Tomato & Feta Bites with Bell Pepper,Snack,Modern Med,1,25,5,416,23,40,20,9,358,"vegetarian, gluten_free","legumes, olive_oil, vegetables, yogurt_cheese",bell pepper; tomato; arugula; fava beans; ricotta; extra-virgin olive oil,Combine ingredients. Season with rosemary and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1523986371872-9d3ba2e2f642?q=80&w=800&auto=format&fit=crop
MD119,Tahini Date Bites with Tomato,Snack,Spanish,1,15,10,391,15,38,22,8,249,"vegetarian, vegan, gluten_free, dairy_free","fruits, nuts_seeds, olive_oil, vegetables",tomato; spinach; arugula; orange; hazelnuts; extra-virgin olive oil,Combine ingredients. Season with basil and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1517686469429-8bdb88b9f907?q=80&w=800&auto=format&fit=crop
MD120,Tomato & Feta Bites with Avocado,Snack,Italian,1,20,20,416,20,31,26,8,315,"vegetarian, gluten_free","nuts_seeds, olive_oil, vegetables, yogurt_cheese",avocado; eggplant; garlic; sesame seeds; ricotta; extra-virgin olive oil,Combine ingredients. Season with cumin and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1523986371872-9d3ba2e2f642?q=80&w=800&auto=format&fit=crop
